,cosine_distance_char4,rang,cosine_distance_word1,burrows_delta,n_songs,n_words,z_cosine_distance_char4,z_cosine_distance_word1,z_burrows_delta,score_agrege,rang_agrege
ISK,0.10182681888206746,2,0.4252984683901987,0.6763378491297758,82,53316,-1.4650346077312488,-1.849134188188692,-1.5356165774504709,-1.616595124456804,1
PLK,0.1026017235131561,4,0.4234054957790959,0.689855761507616,122,67342,-1.440936386630009,-1.8976465320737241,-1.465041876727078,-1.6012082651436037,2
Zkr,0.10013316227676616,1,0.421168601166381,0.7317220928179787,101,81274,-1.5177044585834591,-1.954972771264995,-1.2464649456131516,-1.5730473918205352,3
​DA Uzi,0.10216781083788029,3,0.4359416578445864,0.7101272566165183,113,66162,-1.4544303356502088,-1.5763747917682596,-1.359207879543329,-1.463337668987266,4
Nahir,0.10387884699231453,8,0.43215467825182574,0.7235243617887394,80,47499,-1.4012200102662395,-1.6734259879726132,-1.2892638925088171,-1.4546366302492233,5
Niro,0.10732684561133565,13,0.44207891959736445,0.6704968362844824,91,51421,-1.293993095179658,-1.4190915057254805,-1.5661115031428312,-1.4263987013493231,6
RK,0.11107801580208787,18,0.4386580168122749,0.6816571969110453,114,66390,-1.1773380578776727,-1.5067610321275813,-1.507845175534732,-1.3973147551799954,7
YL,0.10335183202000187,7,0.43711955981839035,0.7426903776488364,130,67129,-1.417609282980499,-1.546187991768683,-1.1892014127724109,-1.384332895840531,8
Dosseh,0.1026227329308147,5,0.4370227990360671,0.7615626791896678,73,47629,-1.4402830293372104,-1.5486677383424672,-1.0906723650927417,-1.3598743775908064,9
Sadek,0.10696439908399968,11,0.44910615535572673,0.721315685599994,100,56129,-1.3052645680844568,-1.2390003223288726,-1.3007950118605827,-1.281686634091304,10
Guizmo,0.10713918146509105,12,0.42510021234936224,0.8468758320559377,91,62612,-1.2998291321673638,-1.8542150145957577,-0.6452670345199403,-1.2664370604276873,11
Kofs,0.11342489387692467,22,0.4390182458696792,0.746131915555027,73,43190,-1.1043541260800063,-1.4975292261269664,-1.1712337339645664,-1.257705695390513,12
Ninho,0.11042393725684407,15,0.45330547105412844,0.7037583854706141,82,49299,-1.197678792425508,-1.131381941562128,-1.3924586628377134,-1.2405064656084497,13
Lacrim,0.11656217016851489,29,0.4470080742926985,0.7075516016146436,54,30467,-1.0067901489178017,-1.2927691034677629,-1.372654932301416,-1.2240713948956603,14
Zikxo,0.1031155350700621,6,0.42374102558074733,0.9066974734597874,95,69577,-1.42495771776427,-1.8890477087067512,-0.33294851070854636,-1.2156513123931891,15
